zip,population,density,male,female,median_rent,median_age,median_income,white,black,hispanic,asian,crime_rate,crime,income,rent,bakery,meat,juices,cafe,chicken,foreign,vegetarian,hamburger,mixed,dessert,pizza,seafood,soup,sandwich
10304,44137,11391,0.48,0.52,1264,39.2,65190,0.40,0.25,0.23,0.11,6.80,7.596,2.948,7.994,1.215742801,1,1,1.078623881,1.82811851,1.234214973,1,1.925512231,1,1.894504096,2.886973137,1,1,1.385971778
10305,44823,10542,0.49,0.51,1455,41.5,77608,0.57,0.06,0.15,0.19,4.91,8.011,3.509,7.418,2.062204672,1,1,1.154841141,1.815444452,1.570851084,1,2.822695194,1,2.76162806,3.55487882,1.76519389,1,1.380064618
10306,56171,7516,0.49,0.51,1474,42.9,89581,0.67,0.04,0.16,0.10,2.49,8.543,4.050,7.361,1.678089406,1,1.456056379,1.123559211,2.95211052,1.375178482,1,2.454463454,1,3.460033566,3.409404616,1,1.55601645,1.3032817
10307,14925,7606,0.51,0.49,1421,43.0,118654,0.85,0.00,0.12,0.03,7.52,7.437,5.363,7.521,1,1,1,1.232510702,1,1.557346579,1,3.736973758,1,1,5.18519263,1,1,1.380472057
10308,30552,15484,0.48,0.52,1700,43.2,117253,0.82,0.01,0.11,0.04,0.98,8.875,5.300,6.680,1.311673213,1,1.419238394,1,2.196342847,1.393879516,1,1,1,4.876740698,2.703761892,2.122619983,1,1.371729867
10309,36067,5368,0.50,0.50,1703,40.9,108584,0.86,0.00,0.08,0.03,1.39,8.786,4.908,6.671,1.52803061,1,2.065398128,1.384863972,3.026820455,1.502641545,1,2.132595817,1.494825107,3.73662401,3.597831813,1.950960316,1,1.314888705
10310,26146,14563,0.48,0.52,1468,38.8,97131,0.44,0.19,0.29,0.05,10.71,6.735,4.391,7.379,1.728389811,1.852193626,1,1.398174354,2.397944874,1.709650224,1,2.562354981,1,2.510010222,2.990871771,1,1,1.434372023
10312,64355,8379,0.49,0.51,1628,41.0,101892,0.79,0.01,0.12,0.07,1.40,8.784,4.606,6.897,1.443892782,1,1.199029934,1,1,1.235945602,1,2.269499909,1.27731889,3.453933791,3.10300158,1,1,1.176475657
10314,94352,6885,0.48,0.52,1539,42.5,95532,0.61,0.04,0.15,0.18,1.27,8.812,4.318,7.165,1.605535018,1.47230487,1.135753046,1.22067718,1.387386242,1.384496751,1.211171405,3.597676785,1,4.765967287,2.765417444,1,1,1.481477485
10451,50447,49708,0.45,0.55,1163,34.7,34287,0.04,0.37,0.56,0.01,8.33,7.259,1.552,8.298,1.377514619,1,1.253901549,1.2063684,4.622679908,2.071911275,1,3.429242571,2.061323199,4.130471764,3.476420798,2.35977504,1,1.787952072
10452,80363,81618,0.47,0.53,1271,32.5,34219,0.02,0.27,0.68,0.01,9.83,6.928,1.549,7.973,1.35547105,1,1.796919691,1,3.274097947,1.274202832,1,3.541551045,1.222078035,1.245639954,1.777273123,1.426792003,1,1.211983579
10453,80921,88342,0.47,0.53,1300,33.5,35212,0.02,0.24,0.69,0.02,11.49,6.562,1.594,7.885,1.470693145,1,1.158284888,1,5.51683329,1.239474353,1,1.504805098,1.441093341,1.487892232,2.029217797,1,1,1.140347881
10454,39163,37571,0.46,0.54,930,32.6,22066,0.03,0.26,0.70,0.00,36.77,1.000,1.000,9.000,1.243143784,1.568941464,1,1.088609714,3.799887649,1.580109712,1,2.04305935,1,2.008112945,2.594974849,1,1,1.289995427
10455,43062,60466,0.47,0.53,1118,31.9,31051,0.02,0.23,0.73,0.01,9.52,6.996,1.406,8.434,1.884514421,1.517427304,2.189779521,1,6.092749988,1.571490022,1,3.84585017,1.414445617,1.916834501,3.175839487,1.79648613,1,1.527476239
10456,90907,89260,0.46,0.54,1143,32.8,31480,0.02,0.38,0.58,0.01,12.65,6.308,1.425,8.358,1.209494098,1,1.422692579,1.038173322,3.010332904,1.208362196,1,1.449353002,1,1.217148994,1.687119804,1.377289821,1,1
10457,79965,75347,0.47,0.53,1284,30.9,38450,0.02,0.31,0.65,0.01,14.38,5.927,1.740,7.933,1.238160195,1,1.320354441,1.043396764,3.742499844,1.22837856,1,3.554200796,1,1.493725096,1.650951458,1,1,1.071012886
10458,87327,86550,0.48,0.52,1408,30.0,39159,0.07,0.16,0.72,0.03,10.76,6.723,1.772,7.560,1.54520595,1,1.440021005,1.55633551,3.511296621,1.524585632,1,2.403323142,1.61310444,1.904204365,3.861154053,1,1,1.325131142
10459,51640,63210,0.50,0.50,1201,33.5,37000,0.02,0.29,0.67,0.00,15.10,5.768,1.675,8.183,2.106379551,1,1,1,5.954583011,1.249592892,1,2.582081074,1,2.146806563,2.411205784,1,1,1.439856348
10460,60373,45894,0.48,0.52,1220,34.3,31822,0.03,0.26,0.67,0.01,15.74,5.629,1.441,8.126,1.157723486,1,1.212157279,1.057479705,3.42165648,1.17800349,1,1.676615927,1.591219822,2.634866881,2.724391146,1,1,1.470288494
10461,53102,22129,0.49,0.51,1569,39.3,61703,0.30,0.08,0.50,0.11,9.98,6.895,2.790,7.075,1.896598998,1,1.964827798,1.45745086,1.688310547,1.744435152,1,5.615570035,1.336086346,4.34569833,3.940755527,1,1,1.855492517
10462,78986,53370,0.49,0.51,1559,35.9,59627,0.11,0.22,0.48,0.15,7.98,7.336,2.697,7.105,1.964448383,1,1.810812766,1.263607897,3.776492037,1.371156057,1,3.068687278,1.903798503,1.749766932,2.713451329,2.302697404,1.395411845,1.359465314
10463,73737,50990,0.46,0.54,1509,42.3,63684,0.29,0.12,0.52,0.04,4.61,8.077,2.880,7.255,1.774827292,1.302174682,1.173706164,1.188248625,1.991379271,1.444556046,1,1,1.726101841,2.338565689,2.835424097,1.465143493,1,1.385054006
10465,46508,13560,0.51,0.49,1605,39.9,81054,0.39,0.08,0.45,0.04,3.66,8.287,3.664,6.966,1,1,1.275405767,1.373077989,1.785900634,1.461329608,1,1.878329176,1,2.273352776,3.01462114,1,1,1.366294753
10466,76265,37789,0.44,0.56,1416,37.6,63552,0.02,0.64,0.27,0.02,16.26,5.514,2.874,7.536,1.249714548,1,1.167948226,1,2.437776175,1.264594807,1,2.60687078,1.468022216,2.035356383,1.955545357,1,1,1.07445808
10467,102881,44147,0.47,0.53,1437,34.8,43069,0.09,0.29,0.52,0.06,10.89,6.696,1.949,7.472,1.462779328,1,1.124498901,1.067460896,2.065813901,1.307243018,1,3.382325211,1,1.959378488,3.327400913,1,1,1.275976393
10468,83022,77213,0.48,0.52,1426,33.6,40543,0.03,0.14,0.79,0.03,14.21,5.964,1.835,7.505,1.802867674,1.268380123,1.308558489,1.041798827,4.081769491,1.236774095,1,2.476090675,1.214965396,2.188863412,2.379361294,1,1,1.273592323
10469,75785,30599,0.46,0.54,1605,40.7,71125,0.09,0.53,0.28,0.05,10.82,6.710,3.216,6.966,1.125648083,1,1,1.091580714,2.446882628,1.225114165,1,2.617048229,1,2.041914027,2.511081788,1,1,1.074929675
10470,16554,11619,0.46,0.54,1558,39.7,70814,0.38,0.34,0.21,0.03,15.71,5.635,3.202,7.108,1.575222907,1,2.547489601,1,5.415931698,1.79502124,1,1,2.07809938,3.384966007,4.773347831,1,1,1
10471,23540,9117,0.46,0.54,1658,46.5,97340,0.56,0.09,0.27,0.04,2.55,8.531,4.400,6.806,1,3.839607631,1,1,1,1.671246169,1,2.735315775,1,1.83858809,3.211271594,1,1,1.241229628
10472,67158,63928,0.49,0.51,1344,33.2,37100,0.03,0.24,0.60,0.08,9.38,7.027,1.679,7.753,1.850731707,1,1.57216883,1.103345014,3.176995543,1.409610016,1,3.433028579,1,2.175756493,2.550175209,1,1,1
10473,60692,27843,0.46,0.54,1034,38.4,48698,0.02,0.31,0.63,0.01,7.41,7.460,2.203,8.687,1,1,1,1,3.40892814,1.007358514,1,1.673059601,1.294056171,1.325254789,1.343065533,1.565120374,1,1.093563327
10474,11386,7426,0.50,0.50,1176,30.9,33491,0.02,0.28,0.68,0.00,22.84,4.066,1.516,8.259,1,1,1,1.609559498,1,1.840278993,1,4.587680778,1,2.73374,2.828678494,1,1,1.498730498
10475,44801,25998,0.46,0.54,1121,47.2,56895,0.05,0.58,0.31,0.02,2.90,8.453,2.573,8.424,1.637635767,1.497342795,1.285899231,1.077458588,2.631689769,1.228194463,1,1.911795124,1.398358455,3.203116408,1.697127296,1.765569646,1,1.633752088
11004,16534,17387,0.46,0.54,1785,43.0,101184,0.25,0.06,0.11,0.50,1.81,8.692,4.574,6.424,1.575918713,1,1,1.20988401,3.210636668,1.292733136,2.205058936,5.941252369,2.07940348,5.77570186,1.62965203,1,1,1.686893124
11101,34011,13018,0.51,0.49,2274,34.4,99917,0.35,0.11,0.21,0.28,10.00,6.892,4.517,4.950,2.399876511,1,1.376600848,2.734549933,3.14934384,4.066225671,1,7.005312007,3.623688975,5.643289203,4.06097047,1,1,4.005316462
11102,28059,34736,0.49,0.51,2043,35.4,96441,0.48,0.06,0.26,0.15,1.78,8.699,4.359,5.646,2.357459639,1,1.456487096,1.865731336,1,1.90056717,1,3.91167421,1,3.110591643,3.968221723,2.222363082,1,1.607136262
11103,36148,50836,0.49,0.51,1913,35.6,83430,0.54,0.02,0.25,0.14,2.77,8.483,3.772,6.038,2.843965918,1.616395224,2.771684661,3.112008656,5.04455756,3.130805714,1.551190784,3.26011582,1,3.184393453,5.320017705,3.846488247,1,1.628366212
11104,27756,71322,0.48,0.52,1806,39.1,81960,0.42,0.02,0.27,0.25,1.80,8.695,3.705,6.360,2.715348033,1,2.845881457,1.375078061,1,2.142972276,1,5.415189509,1.642990962,2.42242136,4.00062449,1,1,1.409176067
11105,38562,23629,0.50,0.50,2045,36.6,94140,0.63,0.03,0.22,0.09,2.07,8.635,4.256,5.640,2.975466003,1.577808582,1,1.44995361,3.843524713,2.106585636,1.516685972,3.118631468,1.925618855,3.559561698,3.159777328,1.889432232,1,1.883545271
11106,40738,47532,0.49,0.51,1811,36.3,72698,0.43,0.06,0.27,0.18,1.96,8.659,3.287,6.345,1.934973735,1.546945224,1.314413359,1.511103474,4.588852341,2.321215227,1,3.005465822,1,3.422843983,4.57772432,1,1,1.83635114
11378,40256,15709,0.50,0.50,1648,39.9,86326,0.49,0.01,0.35,0.12,3.73,8.272,3.903,6.837,1.946168521,1,1,1.172407702,1,1.623313976,1,1,1,2.961482873,4.103338633,1,1,1.423182541
11385,109828,30400,0.50,0.50,1824,36.6,78130,0.43,0.02,0.47,0.07,3.46,8.330,3.532,6.306,1.953715264,1.202875902,1.583119579,1.631937616,1.66559833,1.685044511,1.18141498,3.23163492,1.162498244,3.696083463,3.748928628,1,1,1.31022392
11412,42056,25543,0.45,0.55,1534,40.6,94371,0.01,0.83,0.06,0.03,9.75,6.946,4.266,7.180,1,1,1.304559907,1,4.476380699,1.223864147,1,1.971308097,1,1.469382814,2.237714793,3.446615397,1,1
11414,31118,13532,0.49,0.51,1869,46.7,86981,0.64,0.04,0.25,0.05,3.53,8.314,3.932,6.171,1.918012726,1,2.234838816,1.111518164,2.174582771,1.383586881,1,2.312723611,1,4.171856102,2.003663475,2.102200839,1,1.364968536
11416,27276,40975,0.52,0.48,1758,36.6,77248,0.13,0.04,0.46,0.33,2.93,8.446,3.493,6.505,1,1,1,1.127226214,2.340030307,1.297515153,1,3.995258347,1,2.447452972,3.290071858,1,1,1.416376701
11418,39194,24000,0.51,0.49,1784,39.6,78492,0.18,0.08,0.40,0.24,6.89,7.576,3.549,6.427,2.214757361,1,1.326799291,1.265618887,2.865115409,1.563177625,1,2.042234356,1.910693328,2.510973386,2.593713323,1.875090211,1,1.579532118
11419,50436,44661,0.51,0.49,1670,41.4,85095,0.04,0.13,0.20,0.35,4.56,8.088,3.847,6.770,1.377596955,1,1.507913848,1,2.449388003,1.653224083,1.395044104,2.619848257,1,2.565577257,1.412826817,1,1,1
11420,52171,25102,0.51,0.49,1790,40.3,89925,0.05,0.23,0.23,0.33,3.64,8.290,4.065,6.409,1,1.427085058,2.473067961,1,2.401187122,1.515318981,1,1,1.342083862,2.135134287,1.598646758,1,1,1.108844865
11421,42984,33371,0.51,0.49,1877,39.4,77495,0.14,0.04,0.60,0.18,6.05,7.760,3.504,6.147,1.886119486,1,1.595969264,1,4.401327626,1.468562086,1,1,1.415197682,1.459249107,2.695390533,1,1,1.132108353
11422,34286,17294,0.48,0.52,1863,40.4,96912,0.05,0.78,0.10,0.04,9.92,6.909,4.381,6.189,1,1,1.37358022,1,3.132104455,1.201520245,1,1,1,2.727267424,1.910925742,1,1,1.165622862
11423,31186,22104,0.48,0.52,2057,42.1,70086,0.11,0.34,0.16,0.28,5.13,7.962,3.169,5.604,1.61067402,1,1,1,4.516064901,1.115455297,1,2.309861263,1.57227144,2.898963987,1.333825007,1,1,1.546259102
11426,21096,15592,0.51,0.49,1537,44.6,103855,0.25,0.07,0.20,0.43,2.37,8.570,4.694,7.171,1.451376564,1,1,1.164496692,1,1.192235426,1.944465512,1,1,1.935739649,2.480470231,1,1,1.807529217
11427,26060,16507,0.49,0.51,1915,44.0,84847,0.15,0.21,0.21,0.34,7.67,7.403,3.836,6.032,1,1,1,1,3.805116398,1,1,5.702532617,1,1.757496686,1.79897672,1,1,1
11428,21323,25610,0.50,0.50,1608,44.1,84258,0.09,0.18,0.27,0.29,3.28,8.369,3.809,6.957,1.893142616,1,1,1.162745497,4.428285576,1.548712947,1,1,1,2.851555938,1.976472979,1,1,1.266310812
11429,28831,22136,0.46,0.54,1657,42.4,90219,0.02,0.67,0.14,0.05,7.63,7.412,4.078,6.809,2.321111304,1,1.444263863,1.601821342,2.267755772,2.449293336,1.69107712,8.084272716,2.857048712,5.792846084,3.166556831,2.189632192,1,1.787838848
11432,65284,30377,0.50,0.50,1444,38.8,66914,0.12,0.16,0.22,0.44,4.29,8.148,3.026,7.451,1.583434839,1.341300388,1.588593136,1.584713627,7.158589139,2.014799446,1.305196441,4.128586892,2.366863025,4.023767483,2.275738823,1.525370469,1.478402059,1.608875347
11433,41668,26849,0.46,0.54,1707,34.8,69495,0.03,0.57,0.14,0.16,9.36,7.032,3.142,6.659,1,1,1.307395878,1.166565337,4.50875172,1.043143767,1,1,1.428310865,1,1.749544015,1,1,1.13628073
11434,66860,20646,0.44,0.56,1352,40.7,67217,0.02,0.79,0.11,0.03,13.31,6.162,3.039,7.728,1.14242058,1.333255378,1,1,2.093349287,1.258969638,1.29800246,2.221936384,1,1.590498464,1.778542228,1.512986625,1,1.424659397
11435,61242,40435,0.51,0.49,1254,36.6,72065,0.13,0.24,0.31,0.21,4.57,8.085,3.258,8.024,1,1,1.209146851,1.05666409,3.387294123,1.633082841,1,2.334030023,1,1.967001256,1.679969084,1,1,1.370892228
11436,21387,27109,0.48,0.52,1700,37.5,79096,0.01,0.60,0.14,0.08,7.48,7.445,3.576,6.680,1,1,1,1,4.418026527,1.27709871,1,1,1,2.846015209,1.973550911,1,1,1
11691,71262,25147,0.47,0.53,1824,32.4,55430,0.25,0.42,0.25,0.04,12.77,6.281,2.507,6.306,1,1,1,1.048696672,2.025810858,1.025682655,1,1,1.500880052,1.277011081,2.022630107,1,1,1.159370926
11693,14240,14281,0.42,0.58,1298,40.4,65340,0.43,0.20,0.30,0.03,7.02,7.546,2.955,7.891,1.668696629,2.564708887,1.899478331,1.243695381,1,1.682363595,1,1,1,3.772522983,3.924344569,1,1,1.398774259
11694,22579,16534,0.48,0.52,1065,46.7,89537,0.74,0.06,0.17,0.02,11.52,6.557,4.048,8.593,2.265189778,1.986822027,1,1,1,1.451903799,1,1,1,4.497119206,2.383232207,1,1,1.251496765
